title,description,link,guid,pubDate,creator
"'Don't beat us, just shoot us': Kashmiris allege violent army crackdown","The BBC has heard allegations of violent beatings and even torture in Indian-administered Kashmir.",https://www.bbc.co.uk/news/world-asia-india-49481180,https://www.bbc.co.uk/news/world-asia-india-49481180,"29 August 2019 23:20:16",
"Colombia Farc rebels: President vows to hunt down new group","Iván Duque responds after former rebel commanders call on followers to take up arms once more.",https://www.bbc.co.uk/news/world-latin-america-49516660,https://www.bbc.co.uk/news/world-latin-america-49516660,"29 August 2019 22:12:12",
"Hurricane Dorian: 'Extremely dangerous' storm bears down on Florida","President Trump cancels a trip to Poland as Hurricane Dorian nears, saying it could be ""very big"".",https://www.bbc.co.uk/news/world-us-canada-49515022,https://www.bbc.co.uk/news/world-us-canada-49515022,"29 August 2019 22:44:40",
"Measles: Four European nations lose eradication status","The World Health Organization blames misinformation for the global resurgence of the disease.",https://www.bbc.co.uk/news/health-49507253,https://www.bbc.co.uk/news/health-49507253,"29 August 2019 10:02:57",
"Spain ex-manager's daughter dies aged nine","Former Spain and Barcelona manager Luis Enrique pays tribute to his daughter after she died from bone cancer aged nine.",https://www.bbc.co.uk/sport/football/49518049,https://www.bbc.co.uk/sport/football/49518049,"29 August 2019 23:01:45",
"Denver lawsuit alleges woman had to give birth alone in jail cell","The woman says she suffered ""terror, pain and humiliation"" as jail staff ignored her pleas for help.",https://www.bbc.co.uk/news/world-us-canada-49513197,https://www.bbc.co.uk/news/world-us-canada-49513197,"29 August 2019 21:35:55",
"Mystery of Napoleon's favourite general may be solved in Russian discovery","DNA results on remains found under a dance floor in Russia could end the mystery of a French general.",https://www.bbc.co.uk/news/world-europe-49508521,https://www.bbc.co.uk/news/world-europe-49508521,"29 August 2019 18:09:44",
"Ilhan Omar reveals racist threat to shoot her at state fair","Ilhan Omar speaks out as an Alabama Republican says she should ""go back to Somalia"".",https://www.bbc.co.uk/news/world-us-canada-49513194,https://www.bbc.co.uk/news/world-us-canada-49513194,"29 August 2019 18:00:21",
"FBI's James Comey spared prosecution over Trump memo leak","But an internal watchdog says the former FBI director failed to safeguard sensitive information.",https://www.bbc.co.uk/news/world-us-canada-49513403,https://www.bbc.co.uk/news/world-us-canada-49513403,"29 August 2019 21:03:04",
"US hospital 'forced' Catholic nurse to assist with abortion","The Trump administration says the Catholic nurse objected on religious grounds but was ignored.",https://www.bbc.co.uk/news/world-us-canada-49515372,https://www.bbc.co.uk/news/world-us-canada-49515372,"29 August 2019 19:43:09",
"Trump statue erected in Melania's home country Slovenia","The wooden monument follows a statue of his wife that drew comparisons to a Smurfette.",https://www.bbc.co.uk/news/world-europe-49514462,https://www.bbc.co.uk/news/world-europe-49514462,"29 August 2019 18:27:55",
"Anti-groping stamp lets victims mark assailants","The Japanese device is paired with a special lamp that lets its otherwise invisible ink be seen.",https://www.bbc.co.uk/news/technology-49509231,https://www.bbc.co.uk/news/technology-49509231,"29 August 2019 15:36:35",
"Reham Saeed: TV host suspended over obesity comments","The TV host said that overweight women are ""a burden on their families and the state"".",https://www.bbc.co.uk/news/world-middle-east-49510051,https://www.bbc.co.uk/news/world-middle-east-49510051,"29 August 2019 13:23:17",
"Elon Musk and Jack Ma disagree about AI's threat","The two tech entrepreneurs debated the risks posed by artificial intelligence at an event in Shanghai.",https://www.bbc.co.uk/news/technology-49508091,https://www.bbc.co.uk/news/technology-49508091,"29 August 2019 13:12:11",
"Celebrating Islam in predominantly Catholic Mexico","For decades, hundreds of Muslims have been forging their own identity in predominantly Catholic southern Mexico.",https://www.bbc.co.uk/news/world-latin-america-49499322,https://www.bbc.co.uk/news/world-latin-america-49499322,"29 August 2019 01:24:25",
"The men who feel left out of US abortion debate","Discussion in the US hinges on the rights of the mother and foetus but rarely the would-be fathers.",https://www.bbc.co.uk/news/world-us-canada-49240582,https://www.bbc.co.uk/news/world-us-canada-49240582,"28 August 2019 21:45:47",
"Ukraine's deadliest day: The battle of Ilovaisk, August 2014","Some 400 troops died at Ilovaisk in 2014 when Ukrainian forces retreated through a ""safe"" corridor.",https://www.bbc.co.uk/news/world-europe-49426724,https://www.bbc.co.uk/news/world-europe-49426724,"29 August 2019 01:09:31",
"TM30: The form getting expats in Thailand into a bureaucratic tangle","Foreign workers now have to check in with officials every time they leave home for more than a day.",https://www.bbc.co.uk/news/world-asia-49470726,https://www.bbc.co.uk/news/world-asia-49470726,"29 August 2019 13:34:33",
"Letter from Africa: Nigerian anger over South African xenophobia","Anti-foreigner attacks in South Africa are souring the country's relations with Nigeria.",https://www.bbc.co.uk/news/world-africa-49432558,https://www.bbc.co.uk/news/world-africa-49432558,"29 August 2019 01:03:44",
"How do blind people enjoy the Mona Lisa?","Museums don't allow people to touch the Mona Lisa or any Van Gogh paintings. With tactile art now you can.",https://www.bbc.co.uk/news/world-us-canada-49491206,https://www.bbc.co.uk/news/world-us-canada-49491206,"29 August 2019 22:49:46",
"Former Brazilian president speaks exclusively to the BBC from prison","Luiz Inácio Lula da Silva criticised the current president's handling of the Amazon fires.",https://www.bbc.co.uk/news/world-latin-america-49509261,https://www.bbc.co.uk/news/world-latin-america-49509261,"29 August 2019 14:12:10",
"Hong Kong park lights up in sex abuse protest","Thousands showed up to support protesters who say they were sexually assaulted by the police.",https://www.bbc.co.uk/news/world-asia-china-49509111,https://www.bbc.co.uk/news/world-asia-china-49509111,"29 August 2019 10:42:23",
"Franklin Expedition: New footage of wreck of HMS Terror","Researchers in Canada have been exploring HMS Terror from the ill-fated Franklin Expedition.",https://www.bbc.co.uk/news/world-us-canada-49490400,https://www.bbc.co.uk/news/world-us-canada-49490400,"28 August 2019 23:36:13",
"Giant smoke plume as Italy's Stromboli volcano erupts","No injuries have been reported but planes have been deployed to drop water on fires caused by lava.",https://www.bbc.co.uk/news/world-europe-49496719,https://www.bbc.co.uk/news/world-europe-49496719,"28 August 2019 18:20:29",
"Gaming faces its #MeToo moment","Several game developers have accused colleagues and peers of sexual assault.",https://www.bbc.co.uk/news/technology-49496977,https://www.bbc.co.uk/news/technology-49496977,"28 August 2019 17:48:11",
"Amazon fires: Forest loss challenges Paris climate ambition","Fossil fuel burning is the big issue but continued forest cover loss will make climate targets harder to achieve, say scientists.",https://www.bbc.co.uk/news/science-environment-49484530,https://www.bbc.co.uk/news/science-environment-49484530,"28 August 2019 13:47:10",
"Sudan's revolutionaries pin hopes on PM Abdalla Hamdok","The junta has agreed to a civilian government after months of protests against its rule.",https://www.bbc.co.uk/news/world-africa-49464535,https://www.bbc.co.uk/news/world-africa-49464535,"28 August 2019 01:54:03",
"Obituary: Volkswagen's visionary leader Ferdinand Piëch","Volkswagen became a global giant under tough perfectionist Ferdinand Piëch, who has died at 82.",https://www.bbc.co.uk/news/world-europe-49489424,https://www.bbc.co.uk/news/world-europe-49489424,"27 August 2019 21:21:19",
"Amazon fires: What about Bolivia?","The world has been gripped by the burning of the Brazilian Amazon - but it's aflame in Bolivia, too.",https://www.bbc.co.uk/news/world-latin-america-49481710,https://www.bbc.co.uk/news/world-latin-america-49481710,"27 August 2019 12:07:34",
